Title,Date,Source,Sentiment,Sentiment Score,Organization Names
"Green hydrogen: Proposals for projects worth ₹2.70 trillion received, says energy minister - Hindustan Times","Sun, 04 Feb 2024 02:32:04 GMT",Google News,POSITIVE,0.9727908372879028,[]
"""Once Volume Increases, Green Hydrogen Will Cost Come Down"": Oil India Chairperson - NDTV","Tue, 06 Feb 2024 15:24:31 GMT",Google News,NEGATIVE,0.996130108833313,"['Oil India', 'NDTV']"
5 ways to make green hydrogen available around the world | World Economic Forum - World Economic Forum,"Mon, 05 Feb 2024 17:30:45 GMT",Google News,POSITIVE,0.997398853302002,"['World Economic Forum', 'World Economic Forum']"
Abu Dhabi Department Of Economic Development And HYCAP Group Partner To Drive Green Hydrogen Innovation - SolarQuarter,"Mon, 05 Feb 2024 11:25:48 GMT",Google News,POSITIVE,0.9944813251495361,"['Abu Dhabi Department Of Economic Development', 'HYCAP Group', 'Hydrogen Innovation']"
IIPE in Visakhapatnam launches a pilot project to produce green hydrogen using NTPC’s desalinated water - The Hindu,"Sun, 04 Feb 2024 19:15:00 GMT",Google News,POSITIVE,0.9057272672653198,['The']
MNRE Launches Pilot Projects to Implement Green Hydrogen in Steel Industry - Mercom India,"Mon, 05 Feb 2024 10:00:10 GMT",Google News,POSITIVE,0.9935939908027649,"['MNRE', 'Mercom India']"
MNRE releases guidelines for pilot projects on use of green hydrogen in shipping sector - Press Trust of India,"Mon, 05 Feb 2024 14:09:42 GMT",Google News,NEGATIVE,0.802383303642273,['Press Trust of India']
The Hydrogen Stream: Reliance Industries to convert existing 5000 ICE trucks to run on green hydrogen by mid-2024 - pv magazine India,"Mon, 05 Feb 2024 05:52:59 GMT",Google News,NEGATIVE,0.6181268095970154,['Reliance Industries']
Disinvestment-bound SCI to spearhead govt’s Green Hydrogen scheme in shipping - PSU Watch,"Sat, 03 Feb 2024 09:42:33 GMT",Google News,NEGATIVE,0.9864374399185181,"['SC', 'PS']"
Green hydrogen in shipping | India outlines funding to retrofit existing vessels and install ammonia fuelling at ports - Hydrogen Insight,"Mon, 05 Feb 2024 08:37:00 GMT",Google News,POSITIVE,0.8256041407585144,[]
India's first green hydrogen fuel cell bus showcased during India Energy Week - Moneycontrol,"Tue, 06 Feb 2024 14:50:04 GMT",Google News,POSITIVE,0.9753214120864868,[]
